instance,size,method,best_known,root_lower_bound,gap_percent,time_seconds,iterations,cuts,combformer_cut_percent
random_n200_5,200,CombFormer,26.028,24.008,7.760,237.126,67,54,
random_n200_6,200,CombFormer,27.079,25.334,6.446,228.996,68,63,
random_n200_7,200,CombFormer,32.821,30.564,6.876,361.696,88,34,
random_n200_8,200,CombFormer,25.719,23.711,7.807,309.196,82,36,
random_n200_9,200,CombFormer,29.710,27.549,7.275,298.748,72,43,
random_n300_0,300,CombFormer,37.806,34.645,8.361,1721.641,114,65,
random_n300_1,300,CombFormer,36.801,33.613,8.665,1825.698,109,39,
random_n300_2,300,CombFormer,33.280,30.672,7.835,1634.531,100,22,
random_n300_3,300,CombFormer,39.352,35.908,8.751,2609.660,97,35,
random_n300_4,300,CombFormer,32.455,29.960,7.689,719.678,58,24,
random_n300_5,300,CombFormer,41.980,38.484,8.329,3605.636,128,86,
random_n300_6,300,CombFormer,31.730,29.100,8.286,1097.829,80,20,
random_n300_7,300,CombFormer,44.472,41.118,7.543,3608.779,129,112,
random_n300_8,300,CombFormer,31.665,28.956,8.556,2083.881,119,38,
random_n300_9,300,CombFormer,35.455,32.273,8.975,3607.449,124,2659,
random_n400_0,400,CombFormer,52.383,47.739,8.865,3643.812,47,516,
random_n400_1,400,CombFormer,40.003,36.503,8.749,3604.396,94,52,
random_n400_2,400,CombFormer,54.356,48.808,10.207,3672.776,49,983,
random_n400_3,400,CombFormer,59.843,54.274,9.307,3685.347,44,710,
random_n400_4,400,CombFormer,45.250,40.720,10.010,3636.930,56,674,
random_n400_5,400,CombFormer,49.547,45.529,8.111,3655.883,56,294,
random_n400_6,400,CombFormer,65.010,59.077,9.125,3616.933,44,774,
random_n400_7,400,CombFormer,59.862,53.963,9.855,3668.174,42,817,
random_n400_8,400,CombFormer,43.522,39.714,8.749,3620.343,63,338,
random_n400_9,400,CombFormer,40.116,36.580,8.814,3602.613,84,53,
random_n500_0,500,CombFormer,59.594,47.121,20.930,3657.662,38,3222,
random_n500_1,500,CombFormer,64.499,55.929,13.288,3680.648,32,1530,
random_n500_2,500,CombFormer,70.217,59.200,15.689,3630.928,26,1937,
random_n500_3,500,CombFormer,79.740,68.657,13.899,3653.275,30,1659,
random_n500_4,500,CombFormer,60.374,49.769,17.565,3670.698,42,2997,
random_n500_5,500,CombFormer,57.346,49.536,13.620,3636.109,32,1972,
random_n500_6,500,CombFormer,74.685,63.987,14.325,3765.284,28,1735,
random_n500_7,500,CombFormer,62.643,53.363,14.814,3729.633,27,1722,
random_n500_8,500,CombFormer,68.466,59.035,13.775,3691.965,31,1611,
random_n500_9,500,CombFormer,77.768,64.094,17.582,3707.189,33,2929,
random_n750_0,750,CombFormer,73.568,59.034,19.756,3618.290,17,1392,
random_n750_1,750,CombFormer,73.775,59.483,19.373,3675.412,16,1399,
random_n750_2,750,CombFormer,91.964,67.858,26.213,3852.568,18,1592,
random_n750_3,750,CombFormer,72.794,58.514,19.617,3737.784,15,1299,
random_n750_4,750,CombFormer,101.702,78.104,23.202,3893.997,15,1280,
random_n750_5,750,CombFormer,71.475,58.682,17.898,3804.965,17,1505,
random_n750_6,750,CombFormer,92.878,69.803,24.844,3796.971,14,1212,
random_n750_7,750,CombFormer,82.851,63.827,22.961,3845.002,14,1286,
random_n750_8,750,CombFormer,96.849,73.127,24.495,3655.225,13,1275,
random_n750_9,750,CombFormer,80.027,60.560,24.326,3647.714,13,1215,
random_n1000_0,1000,CombFormer,96.919,71.993,25.719,3862.787,16,1239,
random_n1000_1,1000,CombFormer,116.843,81.701,30.076,3783.157,14,1124,
random_n1000_2,1000,CombFormer,133.485,92.882,30.418,3879.178,19,1385,
random_n1000_3,1000,CombFormer,144.043,98.429,31.667,3839.357,16,1256,
random_n1000_4,1000,CombFormer,107.729,78.526,27.107,3648.642,15,1217,
random_n1000_5,1000,CombFormer,126.458,86.766,31.388,3792.271,15,1271,
random_n1000_6,1000,CombFormer,96.491,73.526,23.800,3851.577,15,1227,
random_n1000_7,1000,CombFormer,91.085,68.276,25.042,3685.301,14,1150,
random_n1000_8,1000,CombFormer,140.082,96.559,31.070,3763.379,16,1395,
random_n1000_9,1000,CombFormer,119.511,81.754,31.593,3724.630,13,1014,
random_n50_0,50,Union,8.763,8.543,2.507,9.486,6,13,23.077
random_n50_1,50,Union,10.014,9.956,0.584,4.607,12,47,34.043
random_n50_2,50,Union,8.379,8.319,0.713,2.978,6,14,14.286
random_n50_3,50,Union,9.373,9.104,2.870,4.872,13,27,11.111
random_n50_4,50,Union,9.961,9.742,2.194,3.422,7,24,33.333
random_n50_5,50,Union,8.378,8.284,1.114,4.660,14,31,64.516
random_n50_6,50,Union,9.940,9.745,1.963,3.636,7,8,25.000
random_n50_7,50,Union,7.915,7.759,1.968,4.568,12,8,12.500
random_n50_8,50,Union,9.201,9.002,2.159,4.383,9,34,58.824
random_n50_9,50,Union,10.533,10.363,1.615,2.823,5,22,36.364
random_n100_0,100,Union,18.171,17.142,5.665,18.187,23,76,47.368
random_n100_1,100,Union,13.468,12.745,5.365,13.400,17,68,20.588
random_n100_2,100,Union,15.204,14.284,6.051,10.039,13,82,46.341
random_n100_3,100,Union,15.063,14.395,4.438,8.838,10,17,29.412
random_n100_4,100,Union,16.335,15.548,4.816,17.302,23,84,45.238
random_n100_5,100,Union,17.098,16.358,4.329,15.061,19,109,16.514
random_n100_6,100,Union,16.451,15.547,5.499,30.446,37,130,53.846
random_n100_7,100,Union,16.996,16.264,4.307,13.121,18,78,23.077
random_n100_8,100,Union,13.225,12.668,4.208,19.866,28,116,12.069
random_n100_9,100,Union,12.604,12.092,4.057,12.562,19,79,43.038
random_n200_0,200,Union,29.900,27.782,7.083,380.103,101,151,19.205
random_n200_1,200,Union,24.719,23.025,6.852,243.681,74,179,22.346
random_n200_2,200,Union,30.969,28.662,7.452,222.981,70,147,25.850
random_n200_3,200,Union,27.026,25.051,7.309,176.045,59,119,10.924
random_n200_4,200,Union,29.146,26.832,7.939,253.960,68,141,30.496
random_n200_5,200,Union,26.028,24.016,7.729,278.651,76,130,27.692
random_n200_6,200,Union,27.079,25.345,6.405,231.248,66,140,28.571
random_n200_7,200,Union,32.821,30.568,6.863,385.680,91,92,28.261
random_n200_8,200,Union,25.719,23.719,7.776,244.420,70,156,12.179
random_n200_9,200,Union,29.710,27.568,7.209,333.617,84,243,13.992
random_n300_0,300,Union,37.806,34.667,8.303,2251.202,121,320,11.875
random_n300_1,300,Union,36.801,33.620,8.645,2201.757,126,150,13.333
random_n300_2,300,Union,33.280,30.682,7.805,1482.995,111,167,13.772
random_n300_3,300,Union,39.352,35.919,8.723,2261.978,110,263,12.928
random_n300_4,300,Union,32.455,29.987,7.604,746.098,79,126,12.698
random_n300_5,300,Union,41.980,38.492,8.310,2152.013,112,302,24.172
random_n300_6,300,Union,31.730,29.120,8.224,939.323,92,142,15.493
random_n300_7,300,Union,44.472,41.138,7.496,3145.092,134,408,12.745
random_n300_8,300,Union,31.665,28.963,8.534,1414.543,104,173,13.295
random_n300_9,300,Union,35.455,32.443,8.495,3605.299,122,7429,27.958
random_n400_0,400,Union,52.383,47.720,8.901,3619.258,37,2165,19.538
random_n400_1,400,Union,40.003,36.517,8.715,3633.102,88,245,6.939
random_n400_2,400,Union,54.356,48.810,10.203,3611.953,38,2644,26.210
random_n400_3,400,Union,59.843,54.317,9.235,3656.880,35,2782,20.345
random_n400_4,400,Union,45.250,40.752,9.939,3607.157,41,3235,18.609
random_n400_5,400,Union,49.547,45.557,8.053,3649.943,50,941,19.554
random_n400_6,400,Union,65.010,59.058,9.154,3607.786,33,2776,20.785
random_n400_7,400,Union,59.862,53.929,9.910,3660.207,34,3431,24.133
random_n400_8,400,Union,43.522,39.713,8.752,3619.437,55,1522,15.309
random_n400_9,400,Union,40.116,36.594,8.778,3622.856,79,274,8.759
random_n500_0,500,Union,59.594,47.344,20.556,3725.566,29,4971,47.254
random_n500_1,500,Union,64.499,55.816,13.463,3654.443,24,3449,26.239
random_n500_2,500,Union,70.217,59.303,15.543,3668.466,21,3139,37.146
random_n500_3,500,Union,79.740,68.581,13.994,3698.242,24,3640,40.055
random_n500_4,500,Union,60.374,49.936,17.289,3778.512,31,5133,40.035
random_n500_5,500,Union,57.346,49.560,13.577,3640.457,24,3825,33.124
random_n500_6,500,Union,74.685,64.010,14.294,3681.736,20,3054,37.361
random_n500_7,500,Union,62.643,53.483,14.622,3607.070,20,3225,42.574
random_n500_8,500,Union,68.466,58.983,13.851,3613.478,24,3385,33.323
random_n500_9,500,Union,77.768,64.169,17.486,3694.775,25,4219,50.699
random_n750_0,750,Union,73.568,59.014,19.783,3660.133,14,3243,37.311
random_n750_1,750,Union,73.775,59.453,19.412,3853.384,12,2977,36.177
random_n750_2,750,Union,91.964,67.738,26.342,3734.903,15,2826,43.524
random_n750_3,750,Union,72.794,58.567,19.544,3804.026,12,2631,40.935
random_n750_4,750,Union,101.702,77.972,23.333,3932.765,11,2565,41.754
random_n750_5,750,Union,71.475,58.633,17.967,3725.143,13,2840,39.437
random_n750_6,750,Union,92.878,69.848,24.796,4078.965,12,2639,38.575
random_n750_7,750,Union,82.851,63.851,22.932,3861.490,10,2562,36.144
random_n750_8,750,Union,96.849,73.245,24.372,3646.962,11,2231,47.019
random_n750_9,750,Union,80.027,60.597,24.279,3815.142,11,2614,34.392
random_n1000_0,1000,Union,96.919,71.457,26.272,3950.056,11,2354,32.710
random_n1000_1,1000,Union,116.843,81.644,30.125,3943.756,10,2092,40.392
random_n1000_2,1000,Union,133.485,92.237,30.901,3792.827,12,2010,44.229
random_n1000_3,1000,Union,144.043,98.575,31.566,3610.695,12,1940,46.237
random_n1000_4,1000,Union,107.729,78.750,26.900,3959.798,11,2298,36.336
random_n1000_5,1000,Union,126.458,86.406,31.672,3721.943,10,1810,43.260
random_n1000_6,1000,Union,96.491,73.241,24.095,3617.693,10,2480,32.581
random_n1000_7,1000,Union,91.085,68.134,25.197,3927.350,11,2439,37.105
random_n1000_8,1000,Union,140.082,95.576,31.771,3856.798,12,2223,47.548
random_n1000_9,1000,Union,119.511,81.406,31.884,4114.804,11,2045,41.271
