instance,size,method,best_known,root_lower_bound,gap_percent,time_seconds,iterations,cuts,combformer_cut_percent
random_n1000_7,1000,CombFormer,91.085,59.785,34.363,1774.948,9,324,
random_n1000_8,1000,CombFormer,140.082,82.186,41.330,1941.248,9,399,
random_n1000_9,1000,CombFormer,119.511,71.914,39.827,1904.935,9,397,
random_n50_0,50,Union,8.763,8.543,2.507,10.872,7,13,38.462
random_n50_1,50,Union,10.014,9.959,0.553,4.933,12,44,43.182
random_n50_2,50,Union,8.379,8.319,0.713,3.334,6,12,16.667
random_n50_3,50,Union,9.373,9.093,2.995,4.359,9,20,10.000
random_n50_4,50,Union,9.961,9.742,2.192,5.255,13,28,42.857
random_n50_5,50,Union,8.378,8.284,1.117,4.923,14,31,64.516
random_n50_6,50,Union,9.940,9.744,1.972,4.621,10,13,23.077
random_n50_7,50,Union,7.915,7.759,1.976,3.895,8,8,25.000
random_n50_8,50,Union,9.201,9.005,2.126,6.159,11,41,60.976
random_n50_9,50,Union,10.533,10.361,1.637,2.765,3,11,54.545
random_n100_0,100,Union,18.171,17.141,5.668,49.584,24,90,38.889
random_n100_1,100,Union,13.468,12.750,5.327,38.176,20,75,12.000
random_n100_2,100,Union,15.204,14.289,6.021,41.429,26,98,45.918
random_n100_3,100,Union,15.063,14.407,4.357,38.241,21,30,33.333
random_n100_4,100,Union,16.335,15.545,4.834,47.515,26,86,29.070
random_n100_5,100,Union,17.098,16.362,4.305,57.215,33,137,16.788
random_n100_6,100,Union,16.451,15.544,5.514,66.269,34,133,51.128
random_n100_7,100,Union,16.996,16.271,4.265,57.853,38,117,25.641
random_n100_8,100,Union,13.225,12.669,4.204,42.866,29,159,14.465
random_n100_9,100,Union,12.604,12.089,4.082,34.956,19,67,41.791
random_n200_0,200,Union,29.900,27.778,7.097,698.344,63,179,41.899
random_n200_1,200,Union,24.719,23.022,6.864,653.097,61,193,21.762
random_n200_2,200,Union,30.969,28.661,7.454,557.936,47,154,22.727
random_n200_3,200,Union,27.026,25.050,7.314,575.942,67,140,20.000
random_n200_4,200,Union,29.146,26.830,7.945,741.726,55,145,39.310
random_n200_5,200,Union,26.028,24.013,7.743,624.802,55,135,31.111
random_n200_6,200,Union,27.079,25.332,6.452,569.390,39,144,25.694
random_n200_7,200,Union,32.821,30.534,6.966,716.149,39,215,31.163
random_n200_8,200,Union,25.719,23.718,7.780,624.939,63,133,20.301
random_n200_9,200,Union,29.710,27.570,7.205,729.189,60,228,11.404
random_n300_0,300,Union,37.806,33.315,11.878,1875.147,39,3922,34.421
random_n300_1,300,Union,36.801,32.066,12.867,1997.210,39,3937,32.487
random_n300_2,300,Union,33.280,30.039,9.739,2018.758,39,3054,23.477
random_n300_3,300,Union,39.352,34.332,12.755,2101.463,39,3325,32.451
random_n300_4,300,Union,32.455,29.972,7.650,4601.421,143,7739,39.346
random_n300_5,300,Union,41.980,36.624,12.760,2369.394,38,3758,40.899
random_n300_6,300,Union,31.730,29.008,8.578,1599.597,39,1102,17.877
random_n300_7,300,Union,44.472,38.739,12.893,1536.351,39,4254,45.063
random_n300_8,300,Union,31.665,28.450,10.153,2179.233,39,2959,22.981
random_n300_9,300,Union,35.455,31.927,9.952,3253.356,70,5720,27.168
random_n400_0,400,Union,52.383,41.219,21.311,1373.388,19,1937,36.551
random_n400_1,400,Union,40.003,33.739,15.660,2550.197,19,2453,26.457
random_n400_2,400,Union,54.356,40.630,25.251,678.227,19,1785,42.073
random_n400_3,400,Union,59.843,45.914,23.277,860.762,19,2115,33.475
random_n400_4,400,Union,45.250,35.460,21.634,636.947,19,2045,26.650
random_n400_5,400,Union,49.547,39.389,20.502,1016.479,19,1982,37.941
random_n400_6,400,Union,65.010,49.962,23.147,597.759,19,1619,49.660
random_n400_7,400,Union,59.862,45.012,24.807,667.442,19,1791,41.820
random_n400_8,400,Union,43.522,35.015,19.547,722.301,19,2013,31.048
random_n400_9,400,Union,40.116,33.618,16.197,1521.568,19,2552,22.923
random_n500_0,500,Union,59.594,43.613,26.816,1043.441,19,1761,38.444
random_n500_1,500,Union,64.499,45.153,29.995,1132.683,19,2222,35.779
random_n500_2,500,Union,70.217,49.647,29.295,1075.587,19,1951,46.335
random_n500_3,500,Union,79.740,58.672,26.421,878.288,19,1641,42.352
random_n500_4,500,Union,60.374,45.302,24.964,1221.176,19,2072,33.639
random_n500_5,500,Union,57.346,42.885,25.217,1311.748,19,2349,29.544
random_n500_6,500,Union,74.685,54.127,27.527,930.743,19,2162,31.869
random_n500_7,500,Union,62.643,46.652,25.527,1514.925,19,2180,37.339
random_n500_8,500,Union,68.466,50.895,25.664,1353.301,19,2294,32.214
random_n500_9,500,Union,77.768,57.464,26.108,1113.963,19,1942,36.354
random_n750_0,750,Union,73.568,52.884,28.116,1039.680,9,883,29.558
random_n750_1,750,Union,73.775,51.450,30.261,1111.267,9,1041,31.508
random_n750_2,750,Union,91.964,58.315,36.589,1135.071,9,985,28.020
random_n750_3,750,Union,72.794,51.213,29.647,1060.465,9,988,32.794
random_n750_4,750,Union,101.702,67.501,33.628,1044.457,9,918,32.244
random_n750_5,750,Union,71.475,50.817,28.902,952.505,9,786,33.461
random_n750_6,750,Union,92.878,59.126,36.340,1164.338,9,1059,29.178
random_n750_7,750,Union,82.851,53.359,35.596,1026.714,9,1018,26.326
random_n750_8,750,Union,96.849,59.844,38.209,1274.788,9,1132,31.360
random_n750_9,750,Union,80.027,52.121,34.871,1120.403,9,1103,29.102
random_n1000_0,1000,Union,96.919,64.649,33.296,2350.493,9,1145,25.590
random_n1000_1,1000,Union,116.843,71.813,38.539,2487.883,9,1050,36.762
random_n1000_2,1000,Union,133.485,81.158,39.201,2176.957,9,860,38.372
random_n1000_3,1000,Union,144.043,87.195,39.466,2349.791,9,959,34.724
random_n1000_4,1000,Union,107.729,71.110,33.992,2330.925,9,938,32.729
random_n1000_5,1000,Union,126.458,74.966,40.719,2259.280,9,862,37.703
random_n1000_6,1000,Union,96.491,63.880,33.797,2505.601,9,1185,25.907
random_n1000_7,1000,Union,91.085,60.108,34.009,2457.973,9,1155,30.043
random_n1000_8,1000,Union,140.082,81.689,41.685,2184.821,9,830,38.313
random_n1000_9,1000,Union,119.511,72.634,39.224,2491.926,9,1120,33.125
